ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Knockando 1972,500.0,75,0.4,666.67 per litre
 Lagavulin 12 Year Old,500.0,70,0.58,714.29 per litre
 Fettercairn 875,500.0,75,0.43,666.67 per litre
 Littlemill 1991,500.0,70,0.5,714.29 per litre
 Ardbeg Supernova,500.0,70,0.59,714.29 per litre
 Ardbeg Supernova,500.0,70,0.6,714.29 per litre
 Strathisla 8 Year Old,500.0,75,0.4,666.67 per litre
 Glenlivet 1974,500.0,70,0.43,714.29 per litre
 Highland Park 1976,500.0,70,0.46,714.29 per litre
 Springbank 10 Year Old,500.0,75,0.43,666.67 per litre
 Macallan 1990,500.0,70,0.43,714.29 per litre
 Highland Park 1981,500.0,70,0.46,714.29 per litre
 Linkwood 1973,500.0,70,0.43,714.29 per litre
 Glenmorangie 1993 Ealanta,500.0,70,0.46,714.29 per litre
 Caol Ila 1983,500.0,70,0.48,714.29 per litre
 Glen Deveron 15 Year Old,500.0,70,0.4,714.29 per litre
 Laphroaig 10 Year Old,500.0,100,0.43,
 Glenlivet 1974,500.0,70,0.43,714.29 per litre
 Mosstowie 1975,500.0,70,0.45,714.29 per litre
 Littlemill 1992,500.0,70,0.46,714.29 per litre
 Linkwood 1984,500.0,70,0.45,714.29 per litre
 Tomintoul 1966,500.0,70,0.41,714.29 per litre
 SMWS 1.28 (Glenfarclas),500.0,75,0.57,666.67 per litre
 Highland Park 1976,500.0,70,0.46,714.29 per litre
 Highland Park 1981,500.0,70,0.46,714.29 per litre
 Highland Park 1979,500.0,70,0.43,714.29 per litre
 Littlemill 17 Year Old,500.0,75,0.43,666.67 per litre
 Mosstowie 17 Year Old,500.0,75,0.4,666.67 per litre
 Glen Grant 21 Year Old,500.0,75.7,0.4,660.50 per litre
 Caol Ila 1981,500.0,70,0.55,714.29 per litre
 Glenlivet 1974,500.0,70,0.43,714.29 per litre
 Lochside 1981,500.0,75,0.5,666.67 per litre
 Lochside 1981,500.0,70,0.5,714.29 per litre
 Lochside 1981,500.0,70,0.5,714.29 per litre
 Knockando 1965,550.0,75,0.43,733.33 per litre
 Balvenie 17 Year Old,550.0,70,0.4,785.71 per litre
 Blair Athol 15 Year Old,550.0,70,0.59,785.71 per litre
Glenfarclas 150th Anniversary,550.0,75,0.43,733.33 per litre
 Laphroaig 10 Year Old,550.0,70,0.56,785.71 per litre
 Rosebank 12 Year Old,550.0,70,0.43,785.71 per litre
 Knockando 1967,550.0,75,0.43,733.33 per litre
 Glenfarclas Morgan 18 Year Old,550.0,75,0.43,733.33 per litre
 Glenury Royal 12 Year Old,550.0,75.7,0.4,726.55 per litre
 Isle of Jura 1965,550.0,70,0.45,785.71 per litre
 Springbank 12 Year Old,550.0,70,0.43,785.71 per litre
 Scapa 8 Year Old,550.0,75,0.57,733.33 per litre
 St. Magdalene 1981,550.0,70,0.4,785.71 per litre
 Glenmorangie 1993,550.0,70,0.46,785.71 per litre
 Knockando 1967,550.0,75,0.43,733.33 per litre
 Balvenie Tun 1509,550.0,70,0.5,785.71 per litre
 Clynelish Select Reserve 2nd Edition,550.0,70,0.56,785.71 per litre
 Bowmore 12 Year Old,550.0,75,0.43,733.33 per litre
 Millburn 1983,550.0,70,0.59,785.71 per litre
 Glenmorangie 10 Year Old,550.0,200,0.4,275 per litre
 Knockando 1966,550.0,75,0.43,733.33 per litre
 Strathmill 1980,550.0,70,0.6,785.71 per litre
 SMWS 41.3 (Dailuaine),550.0,75,0.57,733.33 per litre
 Laphroaig 10 Year Old,550.0,75,0.56,733.33 per litre
 Laphroaig 10 Year Old,550.0,70,0.56,785.71 per litre
 Highland Park 12 Year Old,550.0,100,0.43,
Tamnavulin-Glenlivet 22 Year Old,550.0,75,0.45,733.33 per litre
 Springbank 12 Year Old,550.0,75,0.43,733.33 per litre
