ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Strathmill 12 Year Old,45.95,70,0.43,65.64 per litre
 Glenmorangie Lasanta 12 Year Old,45.95,70,0.43,65.64 per litre
Glenglassaugh Evolution,45.95,70,0.5,65.64 per litre
Port Askaig 100° Proof,42.95,70,0.57,61.36 per litre
Glenturret Peated Edition,45.95,70,0.43,65.64 per litre
Fettercairn 12 Year Old,39.95,70,0.4,57.07 per litre
Tobermory 12 Year Old,45.95,70,0.46,65.64 per litre
 Benriach The Smoky Twelve,45.95,70,0.46,65.64 per litre
 Unnamed Speyside 2007,46.25,70,0.46,66.07 per litre
Clynelish 14 Year Old,46.75,70,0.46,66.79 per litre
Arran Amarone Cask Finish,46.75,70,0.5,66.79 per litre
Arran Port Cask Finish,46.75,70,0.5,66.79 per litre
Arran Sauternes Cask Finish,46.75,70,0.5,66.79 per litre
 Glen Spey 12 Year Old,46.95,70,0.43,67.07 per litre
 Classic Malts Gentle Collection,46.95,60,0.43,78.25 per litre
 Teaninich 10 Year Old,46.95,70,0.43,67.07 per litre
Dalmore 12 Year Old,46.95,70,0.4,67.07 per litre
 Classic Malts Coastal Collection,46.95,60,0.45,78.25 per litre
MacDonald's Traditional Ben Nevis,46.95,70,0.46,67.07 per litre
 Ballechin 10 Year Old,46.95,70,0.46,67.07 per litre
 Kilchoman Machir Bay and Sanaig Gift Pack,46.95,40,0.46,117.38 per litre
 Bowmore 10 Year Old,46.95,100,0.4,
Glenlivet Captain's Reserve,46.95,70,0.4,67.07 per litre
 Inchgower 2013,46.95,70,0.4,67.07 per litre
 Mannochmore 2012,46.95,70,0.4,67.07 per litre
Aultmore 12 Year Old,47.45,70,0.46,67.79 per litre
 Glenturret Triple Wood,47.45,70,0.43,67.79 per litre
 Glencadam 13 Year Old,47.75,70,0.46,68.21 per litre
 Linkwood 12 Year Old,47.95,70,0.43,68.50 per litre
Ileach Cask Strength,47.95,70,0.58,68.50 per litre
 Mannochmore 12 Year Old,47.95,70,0.43,68.50 per litre
 Auchroisk 2012,47.95,70,0.4,68.50 per litre
 Darkness 8 Year Old,47.95,70,0.48,68.50 per litre
 Glengoyne 12 Year Old,47.95,70,0.43,68.50 per litre
 Glenburgie 2012,47.95,70,0.47,68.50 per litre
 Blair Athol 12 Year Old,48.45,70,0.43,69.21 per litre
 Inchgower 14 Year Old,48.45,70,0.43,69.21 per litre
Finlaggan Cask Strength Islay Malt,48.45,70,0.58,69.21 per litre
Glendronach Traditionally Peated,48.45,70,0.48,69.21 per litre
Auchentoshan Three Wood,43.75,70,0.43,62.50 per litre
Glen Moray 15 Year Old,48.75,70,0.4,69.64 per litre
 Cardhu Gold Reserve,41.95,70,0.4,59.93 per litre
 Glenlossie 10 Year Old,48.95,70,0.43,69.93 per litre
Oban 14 Year Old,48.95,70,0.43,69.93 per litre
Royal Brackla 12 Year Old,48.95,70,0.4,69.93 per litre
 Caol Ila 13 Year Old,48.95,70,0.43,69.93 per litre
 Miltonduff 10 Year Old,48.95,70,0.43,69.93 per litre
Angels’ Nectar Islay Edition Single Malt Scotch Whisky,48.95,70,0.47,69.93 per litre
 Tormore 13 Year Old,48.95,70,0.43,69.93 per litre
Arran Quarter Cask,48.95,70,0.56,69.93 per litre
 Benromach Contrasts: Organic 2012,48.95,70,0.46,69.93 per litre
Kilchoman Sanaig,49.45,70,0.46,70.64 per litre
 Arran Machrie Moor Cask Strength,49.75,70,0.56,71.07 per litre
 Clynelish Reserve,39.95,70,0.51,57.07 per litre
 Auchroisk 10 Year Old,49.95,70,0.43,71.36 per litre
Caol Ila Moch,49.95,70,0.43,71.36 per litre
 Classic Malts Strong Collection,49.95,60,0.43,83.25 per litre
Singleton of Dufftown 15 Year Old,49.95,70,0.4,71.36 per litre
Old Ballantruan 10 Year Old,49.95,70,0.5,71.36 per litre
Cardhu 15 Year Old,49.95,70,0.4,71.36 per litre
 Talisker Port Ruighe,49.95,70,0.46,71.36 per litre
 Mortlach Rare Old,49.95,50,0.43,99.90 per litre
 Bruichladdich The Classic Laddie,49.95,70,0.5,71.36 per litre
Port Askaig 8 Year Old Glass Set,49.95,70,0.46,71.36 per litre
Port Charlotte 10 Year Old,45.95,70,0.5,65.64 per litre
 Mortlach 12 Year Old,49.95,70,0.43,71.36 per litre
 Bunnahabhain 11 Year Old,49.95,70,0.43,71.36 per litre
