ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Allt-a-Bhainne 1992,155.0,70,0.5,221.43 per litre
 Glen Keith 1993,160.0,70,0.51,228.57 per litre
 Un-named Speyside 1992,160.0,70,0.46,228.57 per litre
 Glenrothes 1992,165.0,70,0.44,235.71 per litre
 Secret Speyside 1991,165.0,70,0.43,235.71 per litre
 Glenrothes 1996,167.0,70,0.54,238.57 per litre
 Glen Elgin 1995,170.0,70,0.52,242.86 per litre
 Glen Keith 1993,170.0,70,0.49,242.86 per litre
 Glen Moray 1994,170.0,70,0.43,242.86 per litre
 Linkwood 1997,170.0,70,0.57,242.86 per litre
 Inchgower 12 Year Old,175.0,75,0.43,233.33 per litre
 Longmorn 15 Year Old,175.0,70,0.45,250 per litre
 Cardhu 12 Year Old,175.0,75,0.4,233.33 per litre
 Macallan Sienna,175.0,70,0.43,250 per litre
 Speyside 1991,175.0,70,0.51,250 per litre
 Tormore 1992,175.0,70,0.51,250 per litre
 Mortlach 25 Year Old,175.0,70,0.43,250 per litre
Glenlivet Cipher,180.0,70,0.48,257.14 per litre
 Glenrothes 1996,180.0,70,0.49,257.14 per litre
 Glenrothes 1996,180.0,70,0.52,257.14 per litre
 Glenrothes 1996,180.0,70,0.51,257.14 per litre
 Strathmill 1994,180.0,70,0.47,257.14 per litre
 Glenlivet 18 Year Old Auchvaich,185.0,70,0.56,264.29 per litre
 Glen Keith 1993,185.0,70,0.57,264.29 per litre
Macallan Concept No.2,185.0,70,0.4,264.29 per litre
 Glenrothes 1997,185.0,70,0.58,264.29 per litre
 Glenlivet 14 Year Old,195.0,70,0.6,278.57 per litre
 Glenfiddich 21 Year Old Winter Storm,185.0,70,0.43,264.29 per litre
Macallan Estate,195.0,70,0.43,278.57 per litre
 Balmenach 10 Year Old,199.0,70,0.43,284.29 per litre
 Dufftown-Glenlivet 8 Year Old,199.0,100,0.4,
 Mortlach 16 Year Old,199.0,70,0.43,284.29 per litre
 Aberlour-Glenlivet 12 Year Old,199.0,75,0.4,265.33 per litre
 Glendullan 12 Year Old,199.0,75,0.47,265.33 per litre
 Dufftown-Glenlivet 10 Year Old,199.0,100,0.43,
 Glenlivet 12 Year Old,199.0,75,0.4,265.33 per litre
 Glenlivet 16 Year Old,199.0,70,0.59,284.29 per litre
 Tormore 1988,199.0,70,0.48,284.29 per litre
 Glenlivet Blairgowrie,199.0,70,0.53,284.29 per litre
 Glenallachie 1990,199.0,50,0.45,398 per litre
 Aberlour 1993,199.0,70,0.54,284.29 per litre
 Glenlossie,199.0,70,0.54,284.29 per litre
 Auchroisk 1999,200.0,70,0.61,285.71 per litre
 Glendullan 1995,200.0,70,0.59,285.71 per litre
 BenRiach 1997,210.0,70,0.53,300 per litre
 Caperdonich 21 Year Old,210.0,70,0.48,300 per litre
 Glenallachie 1990,215.0,50,0.55,430 per litre
 Glen Keith 1995,215.0,70,0.52,307.14 per litre
 Auchroisk,220.0,70,0.49,314.29 per litre
 Glenfiddich Grand Cru,220.0,70,0.4,314.29 per litre
 Glenallachie-Glenlivet 12 Year Old,225.0,75,0.43,300 per litre
 Aultmore 12 Year Old,225.0,75,0.4,300 per litre
 Tamdhu 10 Year Old,225.0,75,0.4,300 per litre
 Auchroisk 20 Year Old,225.0,70,0.58,321.43 per litre
 Glen Elgin,225.0,75,0.43,300 per litre
 Glenallachie-Glenlivet 12 Year Old,225.0,75,0.4,300 per litre
 Aberlour-Glenlivet 10 Year Old,225.0,70,0.43,321.43 per litre
 Macallan Rare Cask Batch No.3,225.0,70,0.43,321.43 per litre
 Glen Spey 1997,230.0,70,0.51,328.57 per litre
Glenallachie 25 Year Old,235.0,70,0.48,335.71 per litre
 Tormore 1988,235.0,70,0.49,335.71 per litre
 Tormore 1995,235.0,70,0.51,335.71 per litre
 Macallan Rare Cask,235.0,70,0.43,335.71 per litre
 Caperdonich 21 Year Old Peated,240.0,70,0.48,342.86 per litre
 Longmorn 23 Year Old,240.0,70,0.48,342.86 per litre
Benriach 25 Year Old,210.0,70,0.47,300 per litre
 Pittyvaich 1989,245.0,70,0.5,350 per litre
 Linkwood 12 Year Old,250.0,75,0.4,333.33 per litre
 Kininvie 1991,250.0,35,0.43,714.29 per litre
 Glenlivet 18 Year Old,250.0,70,0.43,357.14 per litre
 Glenlivet 16 Year Old,250.0,70,0.52,357.14 per litre
 Glen Elgin 1998,250.0,70,0.55,357.14 per litre
 Miltonduff 1982,250.0,70,0.46,357.14 per litre
 Glenburgie 1989,250.0,70,0.46,357.14 per litre
 Inchgower 1989,250.0,70,0.48,357.14 per litre
 Macallan 18 Year Old Double Cask,250.0,70,0.43,357.14 per litre
 Miltonduff 1982,250.0,70,0.46,357.14 per litre
 Singleton of Dufftown 1985,255.0,70,0.52,364.29 per litre
 Tormore 1988,255.0,70,0.49,364.29 per litre
 Tomintoul Five Decades,257.0,70,0.5,367.14 per litre
 Balvenie The Edge of Burnhead Wood,260.0,70,0.49,371.43 per litre
 Glenallachie 1995,265.0,70,0.58,378.57 per litre
 Braes Of Glenlivet 1994,270.0,70,0.51,385.71 per litre
 Aberlour-Glenlivet 8 Year Old,275.0,75,0.43,366.67 per litre
 Dufftown-Glenlivet 8 Year Old,275.0,75,0.4,366.67 per litre
 Benromach 17 Year Old,275.0,70,0.43,392.86 per litre
 Aberlour 100 Proof,275.0,100,0.57,
 Benrinnes 1992,275.0,70,0.57,392.86 per litre
 Benriach 28 Years Old,275.0,70,0.49,392.86 per litre
 Benriach 1994,275.0,70,0.52,392.86 per litre
 Glenrothes 1989,275.0,70,0.46,392.86 per litre
 Auchroisk 1990,280.0,70,0.51,400 per litre
 Strathmill 25 Year Old,288.0,70,0.52,411.43 per litre
 Inchgower 27 Year Old,290.0,70,0.55,414.29 per litre
 Balvenie Tun 1509,295.0,70,0.5,421.43 per litre
 Aberlour-Glenlivet 8 Year Old,299.0,75,0.5,398.67 per litre
 Aberlour-Glenlivet 12 Year Old,299.0,113,0.4,264.60 per litre
 Dufftown-Glenlivet 8 Year Old,299.0,75,0.46,398.67 per litre
 Dufftown-Glenlivet 12 Year Old,299.0,100,0.43,
 Dufftown Centenary,299.0,70,0.56,427.14 per litre
 Singleton of Auchroisk 1975,299.0,75,0.4,398.67 per litre
 Tamdhu 8 Year Old,299.0,75.7,0.4,394.98 per litre
 Glendullan 12 Year Old,299.0,75,0.47,398.67 per litre
 Mannochmore 1998,299.0,70,0.59,427.14 per litre
 Benrinnes 1996,299.0,70,0.59,427.14 per litre
 Glen Elgin 12 Year Old,299.0,75,0.43,398.67 per litre
 Glenlossie 1982,299.0,70,0.46,427.14 per litre
 Benriach 25 Year Old,299.0,70,0.46,427.14 per litre
 Glenlivet 18 Year Old,299.0,70,0.58,427.14 per litre
 Dufftown-Glenlivet 12 Year Old,299.0,100,0.43,
Macallan Ruby,299.0,75,0.43,398.67 per litre
 Macallan Classic Cut,299.0,70,0.58,427.14 per litre
 Pittyvaich 28 Year Old,299.0,70,0.52,427.14 per litre
 Linkwood 15 Year Old,299.0,75,0.4,398.67 per litre
 Dufftown 15 Year Old,299.0,70,0.43,427.14 per litre
 Balvenie Tun 1509,299.0,70,0.52,427.14 per litre
 Macallan 18 Year Old,299.0,70,0.43,427.14 per litre
 Cragganmore 25 Year Old,325.0,70,0.51,464.29 per litre
 Linkwood 5 Year Old,325.0,75,0.43,433.33 per litre
